port,name,description,wellknown,common
387,aurp,Appletalk Update-Based Routing Pro.,1,0
388,unidata-ldm,Unidata LDM,1,0
389,ldap,Lightweight Directory Access Protocol,1,1
390,uis,UIS,1,0
391,synotics-relay,SynOptics SNMP Relay Port,1,0
392,synotics-broker,SynOptics Port Broker Port,1,0
393,meta5,Meta5,1,0
394,embl-ndt,EMBL Nucleic Data Transfer,1,0
395,netcp,NetScout Control Protocol,1,0
396,netware-ip,Novell Netware over IP,1,0
397,mptn,Multi Protocol Trans. Net.,1,0
398,kryptolan,Kryptolan,1,0
399,iso-tsap-c2,ISO Transport Class 2 Non-Control over TCP,1,0
400,osb-sd,Oracle Secure Backup,1,0
401,ups,Uninterruptible Power Supply,1,0
402,genie,Genie Protocol,1,0
403,decap,decap,1,0
404,nced,nced,1,0
405,ncld,ncld,1,0
406,imsp,Interactive Mail Support Protocol,1,1
407,timbuktu,Timbuktu,1,1
408,prm-sm,Prospero Resource Manager Sys. Man.,1,0
409,prm-nm,Prospero Resource Manager Node Man.,1,0
410,decladebug,DECLadebug Remote Debug Protocol,1,0
411,rmt,Remote MT Protocol,1,0
412,synoptics-trap,Trap Convention Port,1,0
413,smsp,Storage Management Services Protocol,1,0
414,infoseek,InfoSeek,1,0
415,bnet,BNet,1,0
416,silverplatter,Silverplatter,1,1
417,onmux,Onmux,1,1
418,hyper-g,Hyper-G,1,0
419,ariel1,Ariel 1,1,0
420,smpte,SMPTE,1,0
421,ariel2,Ariel 2,1,0
422,ariel3,Ariel 3,1,0
423,opc-job-start,IBM Operations Planning and Control Start,1,0
424,opc-job-track,IBM Operations Planning and Control Track,1,0
425,icad-el,ICAD,1,1
426,smartsdp,smartsdp,1,0
427,svrloc,Server Location,1,1
428,ocs_cmu,OCS_CMU,1,0
429,ocs_amu,OCS_AMU,1,0
430,utmpsd,UTMPSD,1,0
431,utmpcd,UTMPCD,1,0
432,iasd,IASD,1,0
433,nnsp,NNTP for transit servers (NNSP),1,0
434,mobileip-agent,MobileIP-Agent,1,0
435,mobilip-mn,MobilIP-MN,1,0
436,dna-cml,DNA-CML,1,0
437,comscm,comscm,1,0
438,dsfgw,dsfgw,1,0
439,dasp,dasp,1,0
440,sgcp,sgcp,1,0
441,decvms-sysmgt,decvms-sysmgt,1,0
442,cvc_hostd,cvc_hostd,1,0
443,https,HTTP protocol over TLS/SSL,1,1
444,snpp,Simple Network Paging Protocol,1,1
445,microsoft-ds,Microsoft-DS,1,1
446,ddm-rdb,DDM-Remote Relational Database Access,1,0
447,ddm-dfm,DDM-Distributed File Management,1,0
