asn,name
1088,Fastbridge Fiber
1089,Zella Technologies LLC
1097,Core Transit LLC
1098,Snap One LLC.
1099,WIFIBER
1100,Nuday Networks Inc.
1201,Old Dominion University
1204,The State University of New York
1206,Pittsburgh Supercomputing Center
1207,Pittsburgh Supercomputing Center
1208,DoD Network Information Center
1214,ColoExchange.com a California Corp
1215,Oracle Corporation
1216,Oracle Corporation
1217,Oracle Corporation
1218,Oracle Corporation
1219,Oracle Corporation
1220,Infonet Services Corporation
1222,El Paso Community College
1224,University of Illinois
1225,NTT America Inc.
1226,California Department of Technology
1236,General Dynamics Information Technology Inc.
1239,Sprint
1246,Zito Media
1249,University of Massachusetts - Amherst
1252,University of Nebraska Medical Center
1255,Smith College
1256,UMASSNET
1258,XKL LLC
1261,National Instruments Corporation
1265,Saint Mary's College
1277,Vxchnge Operating LLC
1280,Internet Systems Consortium Inc.
1281,PSINet Inc.
1286,Altay Corporation
1287,Professional Education Institute
1288,Packet Clearing House Inc.
1289,Colgate University
1294,NTT Data Services Holdings Corporation
1310,Caci Inc. Federal
1311,Barra International LLC
1312,Virginia Polytechnic Institute and State Univ.
1313,Adobe Systems Inc.
1315,Imperial PFS
1321,Verizon Business
1323,Verizon Business
1325,Verizon Business
1326,Verizon Business
1339,Verizon Business
1341,Rockwell Collins Inc.
1343,Cisco Systems Cloud Division
1347,Inteliquent Inc.
1348,California Department of Transportation
1351,University of Vermont
1355,AbelsonTaylor Inc.
1356,Sullcrom
1358,Hughes Network Systems Inc.
1359,Institute of Nuclear Power Operations Inc.
1360,Mayfield Electric & Water Systems
1378,InterBel Telephone Cooperative Inc.
1379,Sinch Interconnect LLC
1380,McVean Trading & Investments LLC
1383,Verizon Business
1396,Thinktech Inc
1401,DSW Information Technology LLC.
1403,EBOX
1406,Motorola Inc
1407,Quotemedia
1408,CCBill
1409,Catapulsion LLC
1410,Smith Bagley Inc
1411,Christopher Newport University
1412,Gravity Interactive Inc.
1414,Genuine Parts Company
1415,Christus Health
1416,Chicago Public Schools
1417,PVH Corp.
1419,Selerity Financial Inc.
1420,STL Office Solutions Inc.
1421,WANSecurity Inc.
1422,Media6Degrees
1423,Carson Communications LLC
1426,Lightwave Networking LLC
1427,Alion Science and Technology Corporation
1428,DRW Holdings LLC
1429,Friendfinder Networks Inc
1430,Board of Bar Overseers
1432,Albion College
1436,Meridian Health System
1437,Visonex LLC
1438,Pioneer State Mutual Insurance Co.
1439,Spring Branch Independent School District
1441,360 Broadband LLC
1442,Surehosting Internet Solutions Inc.
1443,CooperVision Inc.
1444,Virtual Care Provider Inc.
1445,Milliman Inc.
1446,Tutor Perini Corporation
1447,Chipotle Mexican Grill Inc
1448,United Cooperative Services
1449,PayPal Inc.
1492,Headquarters USAISC
1493,DNIC-ASBLK-01492-01493
1501,DNIC-ASBLK-01500-01502
1502,DNIC-ASBLK-01500-01502
1508,Headquarters USAISC
1516,DNIC-ASBLK-01513-01518
1523,DNIC-ASBLK-01522-01526
1530,DNIC-ASBLK-01529-01530
1544,DNIC-ASBLK-01534-01546
1551,DoD Network Information Center
1553,DoD Network Information Center
1554,DoD Network Information Center
1555,DoD Network Information Center
1556,DoD Network Information Center
1559,DoD Network Information Center
1561,DoD Network Information Center
1562,DoD Network Information Center
1563,DoD Network Information Center
1565,DoD Network Information Center
1566,DoD Network Information Center
1567,DoD Network Information Center
1568,DoD Network Information Center
1580,DoD Network Information Center
1585,DoD Network Information Center
1590,DoD Network Information Center
1600,DoD Network Information Center
1602,Headquarters USAISC
1603,Henderson State University
1604,TBCDSB
1605,Allegiant Travel Company
1606,Excelenet Inc
1607,Carolina Digital Phone Inc.
1609,Global Imaging Systems Inc
1610,Contegix
1611,Mabel Cooperative Telephone Company
1613,Ember Infrastructure Services LLC
1614,Iowa Student Loan Liquidity Corp.
1615,Exelixis Inc.
1616,CoreLink Data Centers
